"Kod kraju","Koordynaty","Adres","Nazwa firmy","Miejscowość","Kierunek","Tagi","Strona internetowa","Email","Telefon","Płatne?"
"pl","51.20872689999999,16.1637251","Najświętszej Marii Panny 5F/5, 59-220 Legnica, Poland","Blumilk sp. z o.o.","Legnica","Informatyka","Programowanie, Web, PHP, Laravel, Vue","https://www.blumilk.pl/","hello@blumilk.pl",,"Nie"
"pl","50.9456692,14.9081164","Młodych Energetyków 12, 59-916 Bogatynia, Poland","PGE Elektrownia Turów Spółka Akcyjna","Bogatynia","Informatyka","IT","https://elturow.pgegiek.pl/"," elektrowniaturow.giekelt@gkpge.pl","75 773 49 00","Nie"
"pl","51.2645691,15.5892397","Gałczyńskiego 51, 59-700 Bolesławiec, Poland","Zakład Energetyki Cieplnej Sp. z o.o.","Bolesławiec","Informatyka","IT","https://www.zec.boleslawiec.pl/","sekretariat@zec.boleslawiec.pl","75 732 08 43","Nie"
"pl","51.26429779999999,15.569042","Ogrodowa 6, 59-700 Bolesławiec, Poland","Ensila Sp. z o.o.","Bolesławiec","Informatyka","IT","https://readyconstruct.eu","office@readyconstruct.eu","730 699 100","Nie"
"pl","51.2679196,15.5633773","Staszica 6, 59-700 Bolesławiec, Poland","Miejski Zakład Gospodarki Komunalnej Spółka z o.o.","Bolesławiec","Informatyka","IT","https://mzgk.com.pl/","rekrutacja@mzgk.com.pl ","727 400 200","Nie"
"pl","51.275166,15.5747938","Kościuszki 11, 59-700 Bolesławiec, Poland","Zakłady Ceramiczne Bolesławiec Sp. z o.o.","Bolesławiec","Informatyka","IT","https://zcbsklep.pl/pl/","bok@zcbsklep.pl","75 732 41 67","Nie"
"pl","51.2740603,15.9357651","Kolejowa 3/3, 59-225 Chojnów, Poland","Agencja Reklamowa Paweł Budakiewicz","Chojnów","Informatyka","Grafika","http://www.redin.pl/","biuro@redin.pl","888 591 623","Nie"
"pl","51.2720533,15.9537752","Okrzei 6, 59-224 Chojnów, Poland","Feerum S.A.","Chojnów","Informatyka","IT","https://www.feerum.pl/","sekretariat@feerum.pl","76 818 84 85","Nie"
"pl","51.665833,16.052738","Wierzbowa 7, 67-200 Głogów, Poland","NSI Sp. z o.o. ","Głogów","Informatyka","IT, Serwis","https://nsi.net.pl/","poczta@nsi.net.pl ","76 835 88 01","Nie"
"pl","51.0520803,16.2127077","Wrocławska 21A, 59-400 Jawor, Poland","Korpo Sp. z o.o. Jawor","Jawor","Informatyka","IT","https://korpo.eu/","info@korpo.eu","76 877 86 00","Nie"
"pl","51.205698,16.154966","plac Wolności 4, 59-220 Legnica, Poland","New Millennium sp.z o.o.","Legnica","Informatyka","Web, IT, Administrator","https://www.nm.net.pl/","biuro@newmillennium.pl","608 472 987","Nie"
"pl","51.209241,16.1237949","Domejki 2, 59-220 Legnica, Poland","Miejskie Przedsiębiorstwo Komunikacyjne sp. z o.o.","Legnica","Informatyka","IT","https://mpk.legnica.pl","mpk@mpk.legnica.pl","76 722 34 00","Nie"
"pl","51.2066919,16.17657","Fabryczna 22, 59-220 Legnica, Poland","AD AWARDS Sp.j.","Legnica","Informatyka","IT","https://agencjamedialna.pro","biuro@adawards.pl","(76) 852 59 70","Nie"
"pl","51.20831889999999,16.1812874","Gwiezdna 8, 59-220 Legnica, Poland","Apicd s.c. Autorska pracownia informatyki. Produkcja i sprzedaż oprogramowania komputerowego","Legnica","Informatyka","Programowanie, Delphi. ANSI SQL","http://apicd.pl/",,"768 546 775 ","Nie"
"pl","51.2036678,16.1890094","Jana Heweliusza 7M, 59-220 Legnica, Poland","Angra-Kseromatic Sp. z o.o.","Legnica","Informatyka","IT","https://kseromatic.com.pl/","info@kseromatic.com.pl","76 854 05 05","Nie"
