"Nazwa firmy","Kod","Koordynaty","Ulica","ZIP","Miejscowosc","Kierunek","Tagi","Strona","Email","Telefon","Platne","Logo","Facebook","LinkedIn"
"Blumilk sp. z o.o.","Polska","51.208726,16.163720","Najświętszej Marii Panny 5F/5","59-220","Legnica","Informatyka","Programowanie, Web, PHP, Laravel, Vue","https://www.blumilk.pl/","hello@blumilk.pl",,"Nie","foo.png","blumilksoftware","blumilksoftware"
"PGE Elektrownia Turów Spółka Akcyjna","Polska","50.945669,14.908110","Młodych Energetyków 12","59-916","Bogatynia","Informatyka","IT","https://elturow.pgegiek.pl/"," elektrowniaturow.giekelt@gkpge.pl","75 773 49 00","Nie",,,
"Zakład Energetyki Cieplnej Sp. z o.o.","Polska","51.264569,15.589230","Gałczyńskiego 51","59-700","Bolesławiec","Informatyka","IT","https://www.zec.boleslawiec.pl/","sekretariat@zec.boleslawiec.pl","75 732 08 43","Nie",,,
"Ensila Sp. z o.o.","Polska","51.264297,15.569040","Ogrodowa 6","59-700","Bolesławiec","Informatyka","IT","https://readyconstruct.eu","office@readyconstruct.eu","730 699 100","Nie",,,
"Miejski Zakład Gospodarki Komunalnej Spółka z o.o.","Polska","51.267919,15.563370","Staszica 6","59-700","Bolesławiec","Informatyka","IT","https://mzgk.com.pl/","rekrutacja@mzgk.com.pl ","727 400 200","Nie",,,
"Zakłady Ceramiczne Bolesławiec Sp. z o.o.","Polska","51.275166,15.574790","Kościuszki 11","59-700","Bolesławiec","Informatyka","IT","https://zcbsklep.pl/pl/","bok@zcbsklep.pl","75 732 41 67","Nie",,,
"Agencja Reklamowa Paweł Budakiewicz","Polska","51.274060,15.935760","Kolejowa 3/3","59-225","Chojnów","Informatyka","Grafika","http://www.redin.pl/","biuro@redin.pl","888 591 623","Nie",,,
"Feerum S.A.","Polska","51.272053,15.953770","Okrzei 6","59-224","Chojnów","Informatyka","IT","https://www.feerum.pl/","sekretariat@feerum.pl","76 818 84 85","Nie",,,
"NSI Sp. z o.o. ","Polska","51.665833,16.052730","Wierzbowa 7","67-200","Głogów","Informatyka","IT, Serwis","https://nsi.net.pl/","poczta@nsi.net.pl ","76 835 88 01","Nie",,,
"Korpo Sp. z o.o. Jawor","Polska","51.052080,16.212700","Wrocławska 21A","59-400","Jawor","Informatyka","IT","https://korpo.eu/","info@korpo.eu","76 877 86 00","Nie",,,
"New Millennium sp.z o.o.","Polska","51.205698,16.154960","Plac Wolności 4","59-220","Legnica","Informatyka","Web, IT, Administrator","https://www.nm.net.pl/","biuro@newmillennium.pl","608 472 987","Nie",,,
"Miejskie Przedsiębiorstwo Komunikacyjne sp. z o.o.","Polska","51.209241,16.123790","Domejki 2","59-220","Legnica","Informatyka","IT","https://mpk.legnica.pl","mpk@mpk.legnica.pl","76 722 34 00","Nie",,,
"AD AWARDS Sp.j.","Polska","51.206691,16.176570","Fabryczna 22","59-220","Legnica","Informatyka","IT","https://agencjamedialna.pro","biuro@adawards.pl","(76) 852 59 70","Nie",,,
